start log
Sun 05/24/2020 - 17:20:19
Файл dfs.txt успішно створено

Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe             7912 Console                    1     22,796 K
SettingSyncHost.exe          11720 Console                    1      1,616 K
svchost.exe                    920 Services                   0      2,712 K
SkypeApp.exe                 11220 Console                    1        460 K
svchost.exe                  10856 Services                   0      8,512 K
RuntimeBroker.exe            10988 Console                    1      3,324 K
smartscreen.exe               4152 Console                    1     20,552 K
dllhost.exe                   6532 Console                    1      7,208 K
svchost.exe                   1900 Services                   0      4,412 K
ONENOTE.EXE                  15920 Console                    1     81,480 K
devenv.exe                   12388 Console                    1         24 K
explorer.exe                 18772 Console                    1    149,544 K
ShellExperienceHost.exe      18304 Console                    1     34,836 K
SearchUI.exe                 17276 Console                    1     63,568 K
taskhostw.exe                 4756 Console                    1      7,608 K
TSVNCache.exe                 9140 Console                    1        908 K
LockApp.exe                  16428 Console                    1     23,628 K
RuntimeBroker.exe            17864 Console                    1     18,988 K
HelpPane.exe                 16940 Console                    1     12,208 K
svchost.exe                  19492 Services                   0      1,956 K
dllhost.exe                   9792 Console                    1      8,636 K
CompPkgSrv.exe               13796 Console                    1      3,000 K
Lab03.exe                    17660 Console                    1      6,504 K
Lab03.exe                     9980 Console                    1      6,628 K
chrome.exe                    1540 Console                    1    173,120 K
chrome.exe                   10796 Console                    1      2,408 K
chrome.exe                   13384 Console                    1      1,004 K
chrome.exe                   17784 Console                    1    125,420 K
chrome.exe                    1724 Console                    1     47,988 K
chrome.exe                   10124 Console                    1     25,856 K
chrome.exe                    4460 Console                    1      8,240 K
WmiPrvSE.exe                 11304 Services                   0      3,812 K
svchost.exe                  25496 Services                   0     12,496 K
svchost.exe                  20212 Services                   0      8,236 K
chrome.exe                   26212 Console                    1     56,500 K
devenv.exe                    1332 Console                    1    160,852 K
PerfWatson2.exe              20348 Console                    1     33,588 K
Microsoft.ServiceHub.Cont     9804 Console                    1     28,072 K
conhost.exe                  11932 Console                    1      2,560 K
ServiceHub.ThreadedWaitDi     7740 Console                    1     21,676 K
ServiceHub.VSDetouredHost    21868 Console                    1     21,696 K
conhost.exe                  14452 Console                    1      2,568 K
conhost.exe                  24436 Console                    1      2,568 K
ServiceHub.RoslynCodeAnal    26012 Console                    1    121,508 K
conhost.exe                  25640 Console                    1      2,568 K
ServiceHub.Host.CLR.x86.e    18088 Console                    1     17,452 K
conhost.exe                  24860 Console                    1      3,860 K
ServiceHub.IdentityHost.e    15804 Console                    1     37,120 K
conhost.exe                   4364 Console                    1      4,908 K
ServiceHub.SettingsHost.e    19204 Console                    1     41,596 K
conhost.exe                  23496 Console                    1      4,900 K
ServiceHub.TestWindowStor    19936 Console                    1     11,620 K
conhost.exe                  19004 Console                    1      4,900 K
ServiceHub.Host.CLR.x86.e     7696 Console                    1     24,288 K
conhost.exe                  17944 Console                    1      4,908 K
Microsoft.VisualStudio.We     8476 Console                    1     16,508 K
conhost.exe                  23036 Console                    1      4,884 K
node.exe                     12172 Console                    1     19,488 K
node.exe                     20960 Console                    1     13,704 K
conhost.exe                  26216 Console                    1      4,968 K
conhost.exe                    948 Console                    1      4,960 K
node.exe                     15868 Console                    1     14,588 K
chrome.exe                   14496 Console                    1     37,708 K
TrustedInstaller.exe         26668 Services                   0      7,124 K
TiWorker.exe                   464 Services                   0     25,824 K
devenv.exe                   12620 Console                    1    243,900 K
PerfWatson2.exe              19520 Console                    1     32,676 K
Microsoft.ServiceHub.Cont    12404 Console                    1     22,076 K
conhost.exe                  22748 Console                    1      4,892 K
ServiceHub.ThreadedWaitDi    21072 Console                    1     21,880 K
conhost.exe                  24348 Console                    1      4,900 K
ServiceHub.VSDetouredHost    26524 Console                    1     18,624 K
conhost.exe                  19904 Console                    1      4,900 K
ServiceHub.RoslynCodeAnal    19308 Console                    1     19,876 K
conhost.exe                   3236 Console                    1      4,904 K
ServiceHub.Host.CLR.x86.e    17984 Console                    1     13,724 K
conhost.exe                  17796 Console                    1      4,900 K
ServiceHub.IdentityHost.e    24332 Console                    1     24,240 K
conhost.exe                  26172 Console                    1      4,900 K
ServiceHub.SettingsHost.e    23668 Console                    1     26,680 K
conhost.exe                  22700 Console                    1      4,900 K
ServiceHub.TestWindowStor      856 Console                    1     11,436 K
conhost.exe                  24928 Console                    1      4,908 K
Microsoft.VisualStudio.We    23260 Console                    1     12,836 K
conhost.exe                  25872 Console                    1      4,888 K
ServiceHub.Host.CLR.x86.e    17000 Console                    1     19,388 K
conhost.exe                  26960 Console                    1      4,900 K
devenv.exe                   18256 Console                    1    177,336 K
PerfWatson2.exe              26420 Console                    1     29,176 K
Microsoft.ServiceHub.Cont    12408 Console                    1     29,748 K
conhost.exe                  28148 Console                    1      4,892 K
ServiceHub.ThreadedWaitDi    15484 Console                    1     15,616 K
ServiceHub.VSDetouredHost     5660 Console                    1     28,568 K
conhost.exe                  22808 Console                    1      4,904 K
conhost.exe                  14076 Console                    1      4,900 K
ServiceHub.RoslynCodeAnal    16904 Console                    1     26,288 K
conhost.exe                  16764 Console                    1      4,904 K
Microsoft.VisualStudio.We    20560 Console                    1     22,440 K
conhost.exe                   4576 Console                    1      4,892 K
ServiceHub.IdentityHost.e    27964 Console                    1     25,832 K
conhost.exe                  24988 Console                    1      4,904 K
ServiceHub.SettingsHost.e     1812 Console                    1     27,692 K
conhost.exe                  19220 Console                    1      4,900 K
ServiceHub.Host.CLR.x86.e    21276 Console                    1     24,332 K
conhost.exe                  28080 Console                    1      4,904 K
Microsoft.Alm.Shared.Remo     3908 Console                    1     14,564 K
ServiceHub.Host.CLR.x86.e    28484 Console                    1      9,828 K
conhost.exe                  24816 Console                    1      4,900 K
ServiceHub.TestWindowStor     8304 Console                    1      8,792 K
conhost.exe                  29920 Console                    1      4,904 K
chrome.exe                   24272 Console                    1     29,184 K
svchost.exe                  30320 Services                   0      4,764 K
chrome.exe                   27496 Console                    1     27,364 K
Telegram.exe                 30768 Console                    1     90,460 K
MicrosoftEdge.exe            22680 Console                    1     13,576 K
browser_broker.exe           30584 Console                    1      3,616 K
MicrosoftEdgeSH.exe           3248 Console                    1      5,844 K
MicrosoftEdgeCP.exe          16776 Console                    1      9,832 K
chrome.exe                   31128 Console                    1    135,604 K
chrome.exe                   17508 Console                    1     39,228 K
WINWORD.EXE                  26552 Console                    1     65,228 K
svchost.exe                  31896 Services                   0      5,524 K
devenv.exe                   23244 Console                    1    362,888 K
PerfWatson2.exe              27500 Console                    1     48,808 K
Microsoft.ServiceHub.Cont    32244 Console                    1     45,200 K
conhost.exe                  32260 Console                    1      4,896 K
ServiceHub.ThreadedWaitDi    14840 Console                    1     45,840 K
conhost.exe                   7840 Console                    1      4,904 K
ServiceHub.VSDetouredHost    22200 Console                    1     64,276 K
conhost.exe                  28568 Console                    1      4,908 K
ServiceHub.IdentityHost.e    11896 Console                    1     54,764 K
conhost.exe                  24596 Console                    1      4,904 K
ServiceHub.Host.CLR.x86.e    18880 Console                    1     35,988 K
conhost.exe                  27596 Console                    1      4,912 K
ServiceHub.SettingsHost.e    32368 Console                    1     82,196 K
conhost.exe                  25596 Console                    1      4,900 K
pacjsworker.exe              23204 Services                   0      5,892 K
pacjsworker.exe              22520 Services                   0      6,512 K
ServiceHub.Host.CLR.x86.e    31388 Console                    1     53,404 K
conhost.exe                  25384 Console                    1      4,904 K
vcpkgsrv.exe                 24568 Console                    1     78,196 K
Microsoft.Alm.Shared.Remo    16040 Console                    1     29,176 K
ServiceHub.TestWindowStor    28168 Console                    1     43,784 K
conhost.exe                   1068 Console                    1      4,900 K
ServiceHub.DataWarehouseH    28572 Console                    1     79,968 K
conhost.exe                  13880 Console                    1      4,900 K
ScriptedSandbox64.exe        10144 Console                    1    110,868 K
Lab01.exe                    24620 Console                    1      2,868 K
conhost.exe                   5296 Console                    1     16,228 K
chrome.exe                   17884 Console                    1     90,896 K
chrome.exe                   17724 Console                    1     22,132 K
svchost.exe                  31216 Services                   0     18,288 K
cmd.exe                       6572 Console                    1      4,564 K
conhost.exe                  17120 Console                    1     16,512 K
Teams.exe                    30420 Console                    1     32,972 K
SearchProtocolHost.exe        8500 Services                   0     12,432 K
SearchFilterHost.exe         14368 Services                   0      8,736 K
w32tm.exe                    10540 Console                    1      3,780 K
git.exe                      15028 Console                    1      8,664 K
conhost.exe                  29608 Console                    1     15,796 K
tasklist.exe                 27812 Console                    1      7,756 K
conhost.exe                  17644 Console                    1     10,816 K
Sun 05/24/2020 - 17:20:19
Помилка. Файл  не завершено
Sun 05/24/2020 - 17:20:19
Кількість видалених файлів - "0"
